PAIS,PAIS_ISO3,CONTINENTE,ISO_CONTINENTE,OMS_REGION,FUENTE_DATOS,FECHA_ULT_ACTUALIZACION,TOTAL_VACUNACION_ACUM,NPER_VACUNADAS_1DOSIS,TOTAL_VACUNACION_PER100,NPER_VACUNADAS_1DOSIS_PER100,NPER_VACUNADAS_DOSIS_FULL,NPER_VACUNADAS_DOSIS_FULL_PER100,FECHA_PRIMERA_VACUNA,N_TIPOS_VACUNAS_USADAS,NPER_CON_DOSIS_ADICIONAL,NPER_CON_DOSIS_ADIDICIONAL_PER100
Algeria,DZA,Africa,AF,AFRO,REPORTING,04-09-2022,15267442.0,7840131,34.817,17.879,6481186,14.78,30-01-2021,4.0,575651.0,1.313
Angola,AGO,Africa,AF,AFRO,REPORTING,18-06-2023,25962530.0,15980639,78.994,48.623,9010599,27.416,10-03-2021,1.0,2220003.0,6.755
Armenia,ARM,Asia,AS,EURO,REPORTING,04-06-2023,2158796.0,1122646,72.9,37.886,996804,33.639,27-01-2021,10.0,45446.0,1.534
Aruba,ABW,North America,NA,AMRO,REPORTING,02-06-2023,216974.0,90449,203.224,84.717,84297,78.955,17-02-2021,2.0,35659.0,33.399
Brazil,BRA,South America,SA,AMRO,REPORTING,02-06-2023,513329718.0,188746389,241.499,88.797,171459392,80.664,17-01-2021,5.0,110382337.0,51.93
Burkina Faso,BFA,Africa,AF,AFRO,REPORTING,19-03-2023,6674010.0,5152110,31.928,24.647,4129254,19.754,02-06-2021,3.0,0.0,0.0
Costa Rica,CRI,North America,NA,AMRO,REPORTING,02-06-2023,13371989.0,4641899,262.499,91.123,4358863,85.567,24-12-2020,3.0,2957974.0,58.066
Dominica,DMA,North America,NA,AMRO,REPORTING,02-06-2023,67647.0,32995,93.966,45.832,30659,42.587,12-02-2021,5.0,3993.0,5.547
Finland,FIN,Europe,EU,EURO,REPORTING,11-06-2023,13262633.0,4547390,240.0,82.301,4364869,78.998,23-12-2020,5.0,3088223.0,55.892
French Guiana,GUF,South America,SA,AMRO,REPORTING,02-06-2023,242193.0,100299,81.087,33.581,90464,30.288,13-01-2021,3.0,46331.0,15.512
Gabon,GAB,Africa,AF,AFRO,REPORTING,05-02-2023,572672.0,311244,25.73,13.984,257471,11.568,23-03-2021,3.0,2592.0,0.116
Haiti,HTI,North America,NA,AMRO,REPORTING,02-06-2023,664150.0,521396,5.825,4.573,350403,3.073,0,2.0,0.0,0.0
Iceland,ISL,Europe,EU,EURO,REPORTING,16-04-2023,869976.0,307269,238.9,84.403,297921,81.816,30-12-2020,5.0,254556.0,69.907
Jersey,JEY,Europe,EU,EURO,OWID,29-01-2023,266953.0,84365,247.646,78.264,81882,75.96,0,3.0,73662.0,68.335
Lebanon,LBN,Asia,AS,EMRO,REPORTING,22-12-2022,5814699.0,2740227,85.192,40.147,2414223,35.371,14-02-2021,10.0,660249.0,9.673
Malaysia,MYS,Asia,AS,WPRO,REPORTING,04-06-2023,72628221.0,28137456,224.397,86.935,27550446,85.122,24-02-2021,8.0,16336757.0,50.475
Marshall Islands,MHL,Oceania,OC,WPRO,REPORTING,24-03-2023,110742.0,47077,187.083,79.53,40689,68.738,29-12-2020,3.0,18559.0,31.353
Myanmar,MMR,Asia,AS,SEARO,REPORTING,02-05-2023,89454913.0,40354937,164.41,74.169,35196377,64.688,27-01-2021,2.0,13903599.0,25.553
Oman,OMN,Asia,AS,EMRO,REPORTING,25-10-2022,7086050.0,3257365,138.762,63.787,3048826,59.703,29-12-2020,11.0,779859.0,15.272
Pakistan,PAK,Asia,AS,EMRO,REPORTING,20-06-2023,339759802.0,165560136,153.812,74.951,140466099,63.59,03-02-2021,11.0,51955559.0,23.521
Republic of Moldova,MDA,Europe,EU,EURO,REPORTING,11-06-2023,2288948.0,1108879,56.7,27.489,1078505,26.736,03-03-2021,7.0,402985.0,9.99
Saint Kitts and Nevis,KNA,North America,NA,AMRO,REPORTING,02-06-2023,64297.0,33794,120.877,63.532,27000,50.76,22-02-2021,3.0,3465.0,6.514
Slovenia,SVN,Europe,EU,EURO,REPORTING,04-06-2023,3006861.0,1222336,143.5,58.321,1192059,56.877,23-12-2020,8.0,649891.0,31.008
Somalia,SOM,Africa,AF,EMRO,REPORTING,30-04-2023,9443849.0,8370355,59.421,52.666,7035193,44.265,16-03-2021,11.0,0.0,0.0
Togo,TGO,Africa,AF,AFRO,REPORTING,28-05-2023,3405893.0,2248264,41.14,27.157,1554066,18.772,10-03-2021,1.0,427804.0,5.168
Tokelau,TKL,Oceania,OC,WPRO,REPORTING,05-12-2022,6342.0,2203,469.778,163.185,2203,163.185,20-07-2021,1.0,968.0,71.704
Tunisia,TUN,Africa,AF,EMRO,REPORTING,20-06-2023,13253317.0,7218871,112.139,61.08,6401841,54.167,13-03-2021,10.0,1258577.0,10.649
Vanuatu,VUT,Oceania,OC,WPRO,REPORTING,20-02-2023,355430.0,176624,115.721,57.505,162250,52.825,02-06-2021,3.0,16556.0,5.39
Andorra,AND,Europe,EU,EURO,REPORTING,21-05-2023,157059.0,57912,203.3,76.023,53500,70.231,20-01-2021,4.0,43068.0,56.537
Anguilla,AIA,North America,NA,AMRO,REPORTING,02-06-2023,24611.0,10854,164.051,72.35,10380,69.191,05-02-2021,2.0,3046.0,20.304
Bahamas,BHS,North America,NA,AMRO,REPORTING,02-06-2023,366359.0,174810,93.163,44.453,166972,42.46,14-03-2021,4.0,33717.0,8.574
Barbados,BRB,North America,NA,AMRO,REPORTING,02-06-2023,381721.0,163846,132.83,57.015,155036,53.949,08-01-2021,5.0,62839.0,21.867
Belarus,BLR,Europe,EU,EURO,REPORTING,14-05-2023,21997703.0,6439812,232.8,68.151,6355081,67.254,03-02-2021,5.0,5713720.0,60.467
Belize,BLZ,North America,NA,AMRO,REPORTING,02-06-2023,510770.0,258456,128.454,64.999,221408,55.682,01-03-2021,5.0,50238.0,12.634
Benin,BEN,Africa,AF,AFRO,REPORTING,18-12-2022,4232541.0,3697190,34.913,30.497,2742837,22.625,29-03-2021,5.0,0.0,0.0
Bermuda,BMU,North America,NA,AMRO,REPORTING,02-06-2023,132042.0,48554,212.037,77.97,47657,76.529,11-01-2021,3.0,31829.0,51.112
Bolivia (Plurinational State of),BOL,South America,SA,AMRO,REPORTING,02-06-2023,16016290.0,7492606,137.208,64.187,6295624,53.933,30-01-2021,7.0,2487668.0,21.311
"Bonaire, Sint Eustatius and Saba",BES,North America,NA,AMRO,OWID,01-09-2021,35845.0,19109,137.934,73.533,16736,64.401,0,2.0,0.0,0.0
Botswana,BWA,Africa,AF,AFRO,REPORTING,07-05-2023,3171667.0,1951054,134.871,82.966,1663490,70.738,26-03-2021,6.0,507654.0,21.587
Cambodia,KHM,Asia,AS,WPRO,REPORTING,07-06-2023,47096851.0,15290443,281.697,91.456,14663743,87.707,10-02-2021,7.0,10663964.0,63.784
Cameroon,CMR,Africa,AF,AFRO,REPORTING,11-06-2023,4784894.0,3692198,18.025,13.909,3139931,11.828,12-04-2021,4.0,775293.0,2.921
Canada,CAN,North America,NA,AMRO,REPORTING,02-06-2023,97596974.0,32645232,258.589,86.495,31311576,82.962,14-12-2020,6.0,19776324.0,52.399
Chad,TCD,Africa,AF,AFRO,REPORTING,11-06-2023,8549887.0,6254729,52.051,38.079,6127422,37.303,04-06-2021,1.0,4042573.0,24.611
Croatia,HRV,Europe,EU,EURO,REPORTING,11-06-2023,5432701.0,2320124,133.9,57.206,2246534,55.358,23-12-2020,6.0,994415.0,24.504
French Polynesia,PYF,Oceania,OC,WPRO,REPORTING,01-05-2023,480028.0,190908,170.884,67.961,186803,66.5,18-01-2021,2.0,102317.0,36.424
Georgia,GEO,Asia,AS,EURO,REPORTING,16-04-2023,2738178.0,1300473,68.6,32.6,1186709,29.748,17-03-2021,4.0,250996.0,6.292
Grenada,GRD,North America,NA,AMRO,REPORTING,02-06-2023,90686.0,44241,80.593,39.317,39034,34.69,15-02-2021,5.0,7411.0,6.586
Indonesia,IDN,Asia,AS,SEARO,REPORTING,06-06-2023,447595845.0,203845350,163.641,74.526,174893201,63.941,13-01-2021,7.0,68857294.0,25.174
Iran (Islamic Republic of),IRN,Asia,AS,EMRO,REPORTING,20-06-2023,155426133.0,65190174,185.047,77.614,58575727,69.739,09-02-2021,12.0,28573004.0,34.018
Kenya,KEN,Africa,AF,AFRO,REPORTING,02-04-2023,23750431.0,14494372,44.169,26.956,11090440,20.625,05-03-2021,5.0,2000636.0,3.721
Kosovo,XKX,Sin Determinar,Z9,EURO,REPORTING,15-01-2023,1836901.0,904558,102.3,50.375,824752,45.93,31-03-2021,2.0,105624.0,5.882
Liberia,LBR,Africa,AF,AFRO,REPORTING,11-12-2022,4460668.0,3903802,88.196,77.186,3730967,73.768,01-04-2021,1.0,1987.0,0.039
Madagascar,MDG,Africa,AF,AFRO,REPORTING,18-06-2023,3021300.0,2643237,10.911,9.545,2563217,9.256,10-05-2021,3.0,160752.0,0.581
Mauritania,MRT,Africa,AF,AFRO,REPORTING,14-05-2023,4068530.0,2101236,87.502,45.191,1538089,33.08,26-03-2021,2.0,383866.0,8.256
Nepal,NPL,Asia,AS,SEARO,REPORTING,20-06-2023,62086946.0,27804935,213.088,95.429,24389063,83.705,27-01-2021,8.0,9892948.0,33.953
Argentina,ARG,South America,SA,AMRO,REPORTING,07-10-2022,109652736.0,41324100,242.617,91.434,37840119,83.725,29-12-2020,7.0,30810184.0,68.17
Australia,AUS,Oceania,OC,WPRO,REPORTING,24-03-2023,65492360.0,22231907,256.834,87.184,21648824,84.898,21-02-2021,5.0,14368201.0,56.346
Bahrain,BHR,Asia,AS,EMRO,REPORTING,21-12-2022,3476633.0,1241174,204.319,72.943,1226796,72.098,04-11-2020,11.0,1008663.0,59.278
British Virgin Islands,VGB,North America,NA,AMRO,REPORTING,02-06-2023,41453.0,19466,137.094,64.378,18261,60.393,11-02-2021,3.0,3726.0,12.323
Egypt,EGY,Africa,AF,EMRO,REPORTING,21-05-2023,112673535.0,56907319,110.103,55.609,42337175,41.371,24-01-2021,10.0,15217352.0,14.87
El Salvador,SLV,North America,NA,AMRO,REPORTING,02-06-2023,11426688.0,4656627,176.169,71.793,4393762,67.74,17-02-2021,6.0,1898202.0,29.265
Eswatini,SWZ,Africa,AF,AFRO,REPORTING,04-06-2023,870205.0,526050,75.007,45.343,427335,36.834,19-03-2021,3.0,179450.0,15.468
Greece,GRC,Europe,EU,EURO,REPORTING,11-06-2023,21983798.0,7916555,205.1,73.858,7744795,72.256,23-12-2020,7.0,5902253.0,55.066
Guam,GUM,Oceania,OC,WPRO,REPORTING,31-01-2023,352698.0,135612,208.975,80.351,128788,76.308,04-01-2021,3.0,83603.0,49.535
India,IND,Asia,AS,SEARO,REPORTING,27-06-2023,2206737729.0,1025823823,159.908,74.335,952120865,68.994,16-01-2021,8.0,228793041.0,16.579
Latvia,LVA,Europe,EU,EURO,REPORTING,11-06-2023,2979616.0,1344368,156.2,70.477,1304768,68.396,30-12-2020,9.0,550859.0,28.876
Lesotho,LSO,Africa,AF,AFRO,REPORTING,19-03-2023,1339097.0,1014073,62.509,47.337,938088,43.79,10-03-2021,3.0,177816.0,8.3
Luxembourg,LUX,Europe,EU,EURO,REPORTING,11-06-2023,1337797.0,469270,213.7,74.95,462702,73.901,30-12-2020,8.0,368484.0,58.853
Montserrat,MSR,North America,NA,AMRO,REPORTING,02-06-2023,4619.0,2104,92.398,42.088,1952,39.048,08-02-2021,2.0,563.0,11.262
Namibia,NAM,Africa,AF,AFRO,REPORTING,18-06-2023,992661.0,618314,39.067,24.334,540692,21.28,19-03-2021,4.0,298560.0,11.75
Papua New Guinea,PNG,Oceania,OC,WPRO,REPORTING,04-06-2023,532983.0,390289,5.957,4.362,329329,3.681,30-03-2021,4.0,35747.0,0.4
Portugal,PRT,Europe,EU,EURO,REPORTING,11-06-2023,27777341.0,9788002,269.8,95.23,8902934,86.471,23-12-2020,12.0,7054573.0,68.518
Qatar,QAT,Asia,AS,EMRO,REPORTING,07-05-2023,7609178.0,2852178,264.111,98.998,2852178,98.998,0,10.0,1904822.0,66.115
Saudi Arabia,SAU,Asia,AS,EMRO,REPORTING,25-04-2023,68534631.0,27041364,196.86,77.674,25433941,73.057,06-01-2021,10.0,16059326.0,46.129
Senegal,SEN,Africa,AF,AFRO,REPORTING,07-05-2023,2936343.0,2684696,17.537,16.034,1442833,8.617,23-02-2021,3.0,815965.0,4.873
Sint Maarten,SXM,Sin Determinar,Z9,AMRO,REPORTING,02-06-2023,66829.0,29788,155.844,69.465,26773,62.434,22-02-2021,3.0,9146.0,21.328
South Africa,ZAF,Africa,AF,AFRO,REPORTING,04-06-2023,38882146.0,24210953,65.559,40.822,21038797,35.473,17-02-2021,2.0,4410601.0,7.437
Sri Lanka,LKA,Asia,AS,SEARO,REPORTING,30-10-2022,40116590.0,17143761,187.345,80.061,14752827,68.896,29-01-2021,6.0,8220002.0,38.387
United Arab Emirates,ARE,Asia,AS,EMRO,REPORTING,06-07-2022,24922054.0,9991089,251.982,101.018,9792266,99.008,0,11.0,5138699.0,51.956
United States of America,USA,North America,NA,AMRO,REPORTING,02-06-2023,668882018.0,267321711,202.078,80.761,227948938,68.866,14-12-2020,4.0,116629517.0,35.235
Uzbekistan,UZB,Asia,AS,EURO,REPORTING,04-06-2023,80043836.0,22149587,239.2,66.611,18324762,54.751,28-04-2021,9.0,16136680.0,48.214
Wallis and Futuna,WLF,Oceania,OC,WPRO,REPORTING,23-01-2023,17303.0,7150,153.859,63.578,6803,60.493,19-03-2021,1.0,3350.0,29.788
American Samoa,ASM,Oceania,OC,WPRO,REPORTING,29-03-2023,114706.0,46206,207.812,83.711,42479,76.959,21-12-2020,3.0,24160.0,43.77
Austria,AUT,Europe,EU,EURO,REPORTING,11-06-2023,20402999.0,6899834,229.2,77.626,6682310,75.073,30-12-2020,10.0,5405808.0,60.732
Bangladesh,BGD,Asia,AS,SEARO,REPORTING,25-06-2023,360177584.0,151379833,218.701,91.918,141208849,85.743,27-01-2021,8.0,67588902.0,41.04
Brunei Darussalam,BRN,Asia,AS,WPRO,REPORTING,28-04-2023,1291978.0,451032,295.323,103.098,446630,102.092,03-04-2021,5.0,340379.0,77.805
Bulgaria,BGR,Europe,EU,EURO,REPORTING,11-06-2023,4618004.0,2108377,66.4,30.33,2080169,29.924,30-12-2020,4.0,832572.0,11.977
Central African Republic,CAF,Africa,AF,AFRO,REPORTING,18-06-2023,3109186.0,2600389,64.375,53.841,2484985,51.451,19-03-2021,2.0,366221.0,7.583
Cuba,CUB,North America,NA,AMRO,REPORTING,02-06-2023,38105906.0,10749013,336.428,94.9,10016328,88.432,0,3.0,8742146.0,77.182
Curaçao,CUW,North America,NA,AMRO,REPORTING,02-06-2023,260324.0,108601,158.644,66.183,100885,61.48,24-02-2021,3.0,43138.0,26.289
Ecuador,ECU,South America,SA,AMRO,REPORTING,24-02-2023,39495110.0,15329151,223.856,86.885,14233323,80.674,20-01-2021,4.0,7708466.0,43.691
Estonia,EST,Europe,EU,EURO,REPORTING,11-06-2023,2204676.0,845120,165.9,63.592,842153,63.369,23-12-2020,9.0,487291.0,36.667
Ethiopia,ETH,Africa,AF,AFRO,REPORTING,28-05-2023,68856793.0,52489512,59.894,45.658,43653006,37.971,13-03-2021,4.0,5978070.0,5.2
Fiji,FJI,Oceania,OC,WPRO,REPORTING,27-04-2023,1555182.0,712025,173.483,79.428,641194,71.526,07-03-2021,3.0,172046.0,19.192
Gambia,GMB,Africa,AF,AFRO,REPORTING,19-03-2023,1444492.0,674314,59.772,27.903,539186,22.311,10-03-2021,2.0,53741.0,2.224
Guadeloupe,GLP,North America,NA,AMRO,REPORTING,02-06-2023,400129.0,152113,100.001,38.016,146098,36.513,08-01-2021,7.0,89009.0,22.245
Honduras,HND,North America,NA,AMRO,REPORTING,02-06-2023,16901540.0,6485671,170.643,65.481,5751048,58.064,22-02-2021,6.0,4665196.0,47.101
Ireland,IRL,Europe,EU,EURO,REPORTING,11-06-2023,12386942.0,4108479,249.5,85.508,4062803,81.838,30-12-2020,5.0,3057548.0,61.589
Jordan,JOR,Asia,AS,EMRO,REPORTING,21-08-2022,10057975.0,4821579,98.577,47.256,4558313,44.676,13-01-2021,10.0,682211.0,6.686
Libya,LBY,Africa,AF,EMRO,REPORTING,16-01-2023,3739158.0,2316327,54.417,33.71,1236102,17.989,11-04-2021,10.0,186729.0,2.718
Lithuania,LTU,Europe,EU,EURO,REPORTING,11-06-2023,4532385.0,1956467,162.2,70.176,1907044,68.253,23-12-2020,5.0,902046.0,32.284
Malawi,MWI,Africa,AF,AFRO,REPORTING,18-06-2023,8306224.0,5343858,43.42,27.935,4199954,21.955,11-03-2021,2.0,1130407.0,5.909
Maldives,MDV,Asia,AS,SEARO,REPORTING,25-05-2023,951764.0,399308,176.075,73.872,385167,71.255,01-02-2021,8.0,167289.0,30.948
Malta,MLT,Europe,EU,EURO,REPORTING,11-06-2023,1280143.0,450522,248.8,87.554,444900,86.462,23-12-2020,4.0,352633.0,68.53
Netherlands,NLD,Europe,EU,EURO,REPORTING,11-09-2022,36105753.0,12776868,207.4,73.398,11957152,68.689,06-01-2021,6.0,9417108.0,54.098
Niger,NER,Africa,AF,AFRO,REPORTING,12-03-2023,7339299.0,6217508,30.319,25.685,5454196,22.532,29-03-2021,2.0,0.0,0.0
Romania,ROU,Europe,EU,EURO,REPORTING,11-06-2023,16110560.0,8187976,83.3,42.361,8142177,42.125,27-01-2021,4.0,1768737.0,9.151
Saint Vincent and the Grenadines,VCT,North America,NA,AMRO,REPORTING,02-06-2023,73443.0,37532,66.201,33.831,31632,28.513,01-02-2021,5.0,4279.0,3.857
Slovakia,SVK,Europe,EU,EURO,REPORTING,11-06-2023,7221055.0,2839404,132.3,52.024,2791174,51.14,23-12-2020,7.0,1686230.0,30.895
Solomon Islands,SLB,Oceania,OC,WPRO,REPORTING,30-04-2023,610594.0,334834,88.893,48.747,252585,36.773,23-03-2021,4.0,27444.0,3.995
Sudan,SDN,Africa,AF,EMRO,REPORTING,02-04-2023,22598737.0,15207452,51.537,34.681,13416394,30.597,09-03-2021,11.0,3891363.0,8.874
Tonga,TON,Oceania,OC,WPRO,REPORTING,30-04-2023,204640.0,87345,193.614,82.639,77366,73.197,14-04-2021,2.0,38545.0,36.468
