PAIS_ISO2,MES,AverageTemperature
AD,1,4.4290714285714285
AD,2,5.1316428571428565
AD,3,8.307857142857143
AD,4,10.652714285714286
AD,5,14.433571428571428
AD,6,18.82064285714286
AD,7,21.034428571428574
AD,8,20.943071428571425
AD,9,17.203692307692307
AD,10,13.173384615384615
AD,11,8.173538461538461
AD,12,4.783
AE,1,19.265214285714286
AE,2,21.38964285714286
AE,3,24.859214285714284
AE,4,29.29457142857143
AE,5,33.89935714285714
AE,6,35.913500000000006
AE,7,37.05985714285715
AE,8,36.672285714285714
AE,9,34.206384615384614
AE,10,30.252769230769232
AE,11,25.40276923076923
AE,12,20.932384615384613
AF,1,1.4289285714285715
AF,2,4.074714285714285
AF,3,10.42
AF,4,16.223642857142856
AF,5,22.182285714285715
AF,6,26.132785714285717
AF,7,27.84042857142857
AF,8,26.40707142857143
AF,9,21.54976923076923
AF,10,15.50023076923077
AF,11,8.965153846153846
AF,12,3.227
AI,1,25.716785714285717
AI,2,25.69464285714286
AI,3,26.14171428571429
AI,4,26.680357142857144
AI,5,27.705714285714286
AI,6,28.638571428571428
AI,7,28.89907142857143
AI,8,29.17164285714286
AI,9,29.103153846153848
AI,10,28.446538461538463
AI,11,27.617615384615384
AI,12,26.385846153846156
AL,1,3.6710000000000003
AL,2,4.831714285714286
AL,3,8.582285714285714
AL,4,12.278214285714286
AL,5,17.183357142857144
AL,6,21.25014285714286
AL,7,23.848857142857145
AL,8,23.769571428571428
AL,9,18.930846153846154
AL,10,14.119692307692308
AL,11,9.536692307692308
AL,12,5.068846153846154
AM,1,-3.6184285714285713
AM,2,-1.2927142857142857
AM,3,3.975071428571429
AM,4,9.324071428571429
AM,5,14.233642857142858
AM,6,19.15107142857143
AM,7,22.516142857142857
AM,8,22.636785714285715
AM,9,18.010923076923078
AM,10,11.553230769230769
AM,11,4.295
AM,12,-1.433
AO,1,22.71614285714286
AO,2,23.379357142857145
AO,3,23.656785714285714
AO,4,22.945285714285717
AO,5,21.742428571428572
AO,6,19.720785714285714
AO,7,19.478857142857144
AO,8,21.509785714285716
AO,9,23.810384615384617
AO,10,24.260538461538463
AO,11,23.908692307692306
AO,12,22.978538461538463
AQ,1,
AQ,2,
AQ,3,
AQ,4,
AQ,5,
AQ,6,
AQ,7,
AQ,8,
AQ,9,
AQ,10,
AQ,11,
AQ,12,
AR,1,22.190714285714286
AR,2,21.128785714285716
AR,3,18.951642857142854
AR,4,15.014928571428571
AR,5,11.063428571428572
AR,6,8.668571428571429
AR,7,7.914928571428573
AR,8,9.921000000000001
AR,9,12.779923076923078
AR,10,16.120461538461537
AR,11,18.855153846153847
AR,12,20.853846153846156
AS,1,27.41614285714286
AS,2,27.536357142857145
AS,3,27.71257142857143
AS,4,27.683357142857144
AS,5,27.586714285714287
AS,6,27.16857142857143
AS,7,26.758000000000003
AS,8,26.752714285714287
AS,9,26.960076923076922
AS,10,26.871538461538464
AS,11,27.267153846153846
AS,12,27.29523076923077
AT,1,-3.0661428571428573
AT,2,-1.5514285714285714
AT,3,2.6829285714285716
AT,4,7.747428571428571
AT,5,12.568071428571429
AT,6,15.847357142857145
AT,7,17.312285714285714
AT,8,16.99235714285714
AT,9,12.344153846153846
AT,10,7.619307692307692
AT,11,2.8153076923076927
AT,12,-2.086076923076923
AU,1,28.56507142857143
AU,2,27.83157142857143
AU,3,25.80657142857143
AU,4,22.71192857142857
AU,5,18.41235714285714
AU,6,15.327142857142857
AU,7,14.9795
AU,8,16.63642857142857
AU,9,20.272230769230767
AU,10,23.270307692307693
AU,11,26.131153846153843
AU,12,27.468692307692308
AW,1,27.13842857142857
AW,2,27.025214285714288
AW,3,27.272214285714284
AW,4,27.856428571428573
AW,5,29.094357142857145
AW,6,29.781214285714288
AW,7,30.00385714285714
AW,8,30.301214285714284
AW,9,30.067307692307693
AW,10,29.239769230769234
AW,11,28.586384615384613
AW,12,27.727076923076922
AZ,1,0.7807857142857143
AZ,2,2.3105714285714285
AZ,3,6.505
AZ,4,11.228214285714285
AZ,5,16.733642857142858
AZ,6,21.772142857142857
AZ,7,24.718214285714286
AZ,8,24.495
AZ,9,19.903923076923075
AZ,10,13.948846153846155
AZ,11,7.384
AZ,12,2.4528461538461537
BB,1,26.07821428571429
BB,2,25.964214285714288
BB,3,26.388714285714286
BB,4,26.955285714285715
BB,5,27.93757142857143
BB,6,28.14342857142857
BB,7,28.194857142857142
BB,8,28.377285714285716
BB,9,28.34869230769231
BB,10,27.795923076923074
BB,11,27.37153846153846
BB,12,26.60692307692308
BD,1,18.081214285714285
BD,2,21.479285714285712
BD,3,25.74178571428572
BD,4,27.923000000000002
BD,5,28.479142857142858
BD,6,28.551785714285717
BD,7,28.418785714285715
BD,8,28.617357142857145
BD,9,28.315076923076926
BD,10,26.835153846153844
BD,11,23.616307692307693
BD,12,19.652
BE,1,2.833642857142857
BE,2,3.5602857142857145
BE,3,6.507
BE,4,10.226571428571429
BE,5,14.013071428571427
BE,6,16.919142857142855
BE,7,18.560142857142857
BE,8,18.3585
BE,9,15.266307692307691
BE,10,11.153076923076924
BE,11,7.037
BE,12,3.118153846153846
BF,1,25.403428571428574
BF,2,28.4905
BF,3,31.73914285714286
BF,4,32.82407142857143
BF,5,32.25907142857143
BF,6,29.99985714285714
BF,7,27.894857142857145
BF,8,26.933857142857143
BF,9,27.639538461538464
BF,10,29.038615384615387
BF,11,28.51492307692308
BF,12,26.182000000000002
BG,1,0.19728571428571431
BG,2,1.708071428571429
BG,3,6.207428571428571
BG,4,10.823714285714285
BG,5,16.252285714285716
BG,6,20.14192857142857
BG,7,22.688142857142857
BG,8,22.64692857142857
BG,9,17.538076923076922
BG,10,12.084538461538461
BG,11,7.233846153846153
BG,12,1.7652307692307692
BH,1,16.326714285714285
BH,2,18.059785714285713
BH,3,21.803
BH,4,26.60721428571429
BH,5,32.18807142857143
BH,6,35.175000000000004
BH,7,36.63664285714286
BH,8,36.12114285714286
BH,9,33.391000000000005
BH,10,29.465692307692304
BH,11,23.47230769230769
BH,12,18.257692307692306
BI,1,20.626214285714287
BI,2,20.930285714285713
BI,3,20.543
BI,4,20.46507142857143
BI,5,20.833214285714288
BI,6,20.656785714285714
BI,7,20.53592857142857
BI,8,21.379428571428573
BI,9,21.848
BI,10,21.384
BI,11,20.456153846153846
BI,12,20.14123076923077
BJ,1,26.988857142857142
BJ,2,29.476285714285716
BJ,3,31.0995
BJ,4,30.673928571428572
BJ,5,29.341214285714283
BJ,6,27.498857142857144
BJ,7,26.22807142857143
BJ,8,25.563785714285718
BJ,9,26.21530769230769
BJ,10,27.157615384615383
BJ,11,27.857307692307693
BJ,12,27.15269230769231
BO,1,22.893857142857144
BO,2,22.697785714285715
BO,3,22.6245
BO,4,21.495214285714287
BO,5,19.427214285714285
BO,6,18.347785714285717
BO,7,18.135
BO,8,19.929642857142856
BO,9,21.69130769230769
BO,10,22.83753846153846
BO,11,23.434
BO,12,22.97492307692308
BR,1,25.954928571428574
BR,2,25.927428571428575
BR,3,25.96392857142857
BR,4,25.536571428571428
BR,5,24.70935714285714
BR,6,24.259142857142855
BR,7,24.2165
BR,8,25.3015
BR,9,26.156846153846153
BR,10,26.505153846153846
BR,11,26.41392307692308
BR,12,26.12123076923077
BS,1,22.102714285714285
BS,2,22.817928571428574
BS,3,23.621857142857145
BS,4,24.7465
BS,5,26.476499999999998
BS,6,28.146714285714285
BS,7,28.974
BS,8,29.148428571428575
BS,9,28.468714285714288
BS,10,26.990461538461542
BS,11,24.821307692307695
BS,12,23.296769230769232
BT,1,4.226428571428571
BT,2,6.809571428571429
BT,3,10.593357142857142
BT,4,13.009714285714285
BT,5,15.576571428571429
BT,6,17.81807142857143
BT,7,18.335428571428572
BT,8,18.130357142857143
BT,9,16.918692307692307
BT,10,13.526
BT,11,9.271615384615385
BT,12,5.712384615384616
BW,1,26.27442857142857
BW,2,25.955857142857145
BW,3,24.927857142857142
BW,4,22.12364285714286
BW,5,18.976642857142856
BW,6,15.95857142857143
BW,7,15.523142857142858
BW,8,18.72242857142857
BW,9,22.89123076923077
BW,10,25.83238461538462
BW,11,26.484
BW,12,26.395615384615386
BY,1,-4.642357142857143
BY,2,-4.612071428571428
BY,3,0.35828571428571415
BY,4,8.067142857142857
BY,5,13.99157142857143
BY,6,16.911
BY,7,19.8195
BY,8,18.2635
BY,9,12.827307692307691
BY,10,6.963692307692308
BY,11,2.457692307692308
BY,12,-2.8583846153846153
BZ,1,22.829785714285716
BZ,2,24.140285714285714
BZ,3,25.365000000000002
BZ,4,26.895000000000003
BZ,5,27.754214285714287
BZ,6,27.447928571428573
BZ,7,27.10342857142857
BZ,8,27.071714285714286
BZ,9,27.15007142857143
BZ,10,25.64976923076923
BZ,11,24.06246153846154
BZ,12,23.03869230769231
CA,1,-20.834928571428573
CA,2,-19.27157142857143
CA,3,-14.456642857142857
CA,4,-5.659571428571428
CA,5,2.906714285714286
CA,6,10.070714285714287
CA,7,13.796357142857143
CA,8,12.168142857142856
CA,9,6.780642857142857
CA,10,-1.1676153846153847
CA,11,-10.23546153846154
CA,12,-17.64346153846154
CF,1,25.142357142857147
CF,2,27.676142857142857
CF,3,28.44242857142857
CF,4,27.96
CF,5,27.044285714285714
CF,6,25.68585714285714
CF,7,24.759642857142858
CF,8,24.76014285714286
CF,9,25.032846153846155
CF,10,25.179230769230767
CF,11,25.46376923076923
CF,12,24.70730769230769
CH,1,-1.2069285714285714
CH,2,-0.2961428571428572
CH,3,3.7719285714285715
CH,4,7.822928571428571
CH,5,12.310142857142859
CH,6,16.037142857142857
CH,7,17.418142857142858
CH,8,17.142142857142858
CH,9,13.083153846153845
CH,10,8.657538461538461
CH,11,3.565461538461539
CH,12,-0.44153846153846155
CL,1,14.501714285714286
CL,2,14.213785714285715
CL,3,12.731
CL,4,10.027428571428572
CL,5,7.477571428571428
CL,6,5.705214285714286
CL,7,5.190714285714286
CL,8,6.346571428571429
CL,9,8.103307692307693
CL,10,9.933615384615385
CL,11,11.826923076923077
CL,12,13.366307692307693
CM,1,24.56357142857143
CM,2,26.250214285714286
CM,3,26.98785714285714
CM,4,26.709785714285715
CM,5,25.966785714285717
CM,6,24.684571428571427
CM,7,23.95357142857143
CM,8,23.853928571428572
CM,9,24.135923076923078
CM,10,24.463076923076922
CM,11,24.893769230769234
CM,12,24.34346153846154
CN,1,-7.744428571428571
CN,2,-3.6301428571428573
CN,3,2.599214285714286
CN,4,9.190785714285713
CN,5,14.581071428571429
CN,6,18.532
CN,7,20.421
CN,8,19.328142857142858
CN,9,14.907153846153847
CN,10,8.230615384615383
CN,11,0.7262307692307691
CN,12,-5.940230769230769
CO,1,25.58442857142857
CO,2,25.947142857142858
CO,3,25.893571428571427
CO,4,25.45414285714286
CO,5,25.32728571428572
CO,6,25.11257142857143
CO,7,25.143285714285717
CO,8,25.535714285714285
CO,9,25.611692307692312
CO,10,25.31323076923077
CO,11,25.327076923076923
CO,12,25.29276923076923
CR,1,25.840785714285715
CR,2,26.52642857142857
CR,3,27.153142857142857
CR,4,27.374142857142857
CR,5,26.957
CR,6,26.485999999999997
CR,7,26.341857142857144
CR,8,26.375285714285717
CR,9,26.134785714285716
CR,10,25.550230769230772
CR,11,25.461769230769228
CR,12,25.503076923076925
CU,1,23.118357142857146
CU,2,23.808071428571427
CU,3,24.511285714285716
CU,4,25.47957142857143
CU,5,26.743642857142856
CU,6,27.80557142857143
CU,7,28.313285714285715
CU,8,28.469357142857145
CU,9,28.09
CU,10,27.093615384615383
CU,11,25.371846153846153
CU,12,24.18546153846154
CV,1,22.905571428571427
CV,2,22.563
CV,3,23.245785714285716
CV,4,23.35464285714286
CV,5,24.21
CV,6,25.169785714285716
CV,7,26.267571428571433
CV,8,27.39557142857143
CV,9,27.911384615384616
CV,10,27.293615384615386
CV,11,26.076153846153847
CV,12,24.278692307692307
CW,1,26.65142857142857
CW,2,26.642214285714285
CW,3,27.014357142857143
CW,4,27.54242857142857
CW,5,28.616857142857146
CW,6,28.99192857142857
CW,7,29.031428571428574
CW,8,29.418000000000003
CW,9,29.41315384615385
CW,10,28.74969230769231
CW,11,28.101307692307692
CW,12,27.210846153846155
CX,1,26.696214285714287
CX,2,26.709857142857143
CX,3,27.03207142857143
CX,4,27.24192857142857
CX,5,27.257714285714286
CX,6,26.629285714285714
CX,7,25.948928571428574
CX,8,25.775357142857143
CX,9,25.983307692307694
CX,10,26.335230769230773
CX,11,26.67630769230769
CX,12,26.57669230769231
CY,1,11.941357142857143
CY,2,12.314357142857144
CY,3,14.552071428571429
CY,4,17.480642857142858
CY,5,21.4905
CY,6,25.391714285714283
CY,7,28.002785714285714
CY,8,28.30907142857143
CY,9,25.893076923076926
CY,10,22.182846153846153
CY,11,17.614615384615384
CY,12,13.729153846153848
CZ,1,-1.4873571428571428
CZ,2,-0.2557857142857142
CZ,3,3.6102142857142856
CZ,4,9.280928571428571
CZ,5,14.065142857142858
CZ,6,17.16578571428571
CZ,7,18.919214285714286
CZ,8,18.588142857142856
CZ,9,13.818692307692308
CZ,10,8.743461538461538
CZ,11,4.3660000000000005
CZ,12,-0.5536153846153846
DE,1,0.3427142857142857
DE,2,1.1549285714285715
DE,3,4.488142857142857
DE,4,9.234857142857143
DE,5,13.643357142857143
DE,6,16.686285714285713
DE,7,18.510714285714283
DE,8,18.20942857142857
DE,9,14.217692307692309
DE,10,9.480076923076924
DE,11,5.1548461538461545
DE,12,1.0176923076923077
DJ,1,25.186142857142862
DJ,2,26.499142857142857
DJ,3,28.19821428571429
DJ,4,29.56771428571429
DJ,5,31.58657142857143
DJ,6,33.23014285714286
DJ,7,34.295785714285714
DJ,8,33.873642857142855
DJ,9,32.17392307692308
DJ,10,29.222615384615384
DJ,11,27.378692307692308
DJ,12,25.717153846153845
DK,1,-27.802214285714285
DK,2,-27.6755
DK,3,-26.574000000000005
DK,4,-20.34407142857143
DK,5,-10.433071428571427
DK,6,-3.126142857142857
DK,7,-0.29992857142857143
DK,8,-2.464785714285714
DK,9,-9.456076923076923
DK,10,-18.107692307692307
DK,11,-24.076076923076922
DK,12,-26.37046153846154
DM,1,25.48314285714286
DM,2,25.3855
DM,3,25.800214285714283
DM,4,26.470785714285714
DM,5,27.591
DM,6,28.130428571428574
DM,7,28.144785714285714
DM,8,28.289142857142856
DM,9,28.17961538461539
DM,10,27.56453846153846
DM,11,27.005230769230767
DM,12,26.03892307692308
DO,1,24.3635
DO,2,24.694285714285716
DO,3,25.211428571428574
DO,4,25.741999999999997
DO,5,26.670785714285717
DO,6,27.545214285714284
DO,7,27.953714285714288
DO,8,28.14671428571429
DO,9,27.796
DO,10,27.148923076923076
DO,11,26.24015384615385
DO,12,25.160923076923076
DZ,1,12.530642857142857
DZ,2,15.049142857142856
DZ,3,20.128714285714288
DZ,4,24.147428571428573
DZ,5,28.684714285714286
DZ,6,32.76264285714286
DZ,7,35.04507142857143
DZ,8,34.05614285714286
DZ,9,30.698
DZ,10,25.30561538461539
DZ,11,18.56230769230769
DZ,12,13.907692307692308
EC,1,22.755714285714284
EC,2,22.81907142857143
EC,3,22.91464285714286
EC,4,22.824428571428573
EC,5,22.737428571428573
EC,6,22.107142857142858
EC,7,21.818214285714287
EC,8,21.967785714285714
EC,9,22.217538461538464
EC,10,22.282076923076925
EC,11,22.503
EC,12,22.596692307692308
EE,1,-4.662857142857143
EE,2,-5.490428571428572
EE,3,-1.4075714285714285
EE,4,5.380571428571429
EE,5,11.629857142857142
EE,6,15.346214285714284
EE,7,18.946642857142855
EE,8,17.221214285714286
EE,9,12.386923076923077
EE,10,6.329384615384615
EE,11,1.7053076923076924
EE,12,-2.820384615384616
EG,1,13.950071428571428
EG,2,16.013214285714287
EG,3,19.67571428571429
EG,4,23.813
EG,5,27.78371428571429
EG,6,30.373857142857144
EG,7,31.44492857142857
EG,8,31.30278571428571
EG,9,29.19023076923077
EG,10,25.284
EG,11,19.978
EG,12,15.37753846153846
EH,1,17.300857142857144
EH,2,18.983571428571427
EH,3,21.696642857142855
EH,4,22.816285714285716
EH,5,24.566928571428573
EH,6,26.615285714285715
EH,7,28.26607142857143
EH,8,28.77264285714286
EH,9,27.718692307692308
EH,10,24.934307692307694
EH,11,21.303076923076922
EH,12,18.294923076923077
ER,1,23.613285714285716
ER,2,25.3355
ER,3,27.003357142857144
ER,4,28.816499999999998
ER,5,30.245714285714286
ER,6,30.526
ER,7,29.793499999999998
ER,8,29.409785714285714
ER,9,29.005692307692307
ER,10,27.798384615384617
ER,11,26.410769230769233
ER,12,24.37
ES,1,6.550285714285714
ES,2,7.665714285714286
ES,3,10.62392857142857
ES,4,12.62692857142857
ES,5,16.44892857142857
ES,6,21.239642857142858
ES,7,23.586142857142857
ES,8,23.732499999999998
ES,9,20.163615384615387
ES,10,15.48576923076923
ES,11,10.084307692307693
ES,12,7.011923076923077
ET,1,22.665785714285715
ET,2,24.11564285714286
ET,3,25.183071428571427
ET,4,25.202357142857146
ET,5,25.317642857142857
ET,6,24.446285714285718
ET,7,23.566142857142857
ET,8,23.578714285714288
ET,9,23.76707692307692
ET,10,23.267153846153846
ET,11,23.02046153846154
ET,12,22.378153846153847
FI,1,-9.019785714285714
FI,2,-9.835642857142856
FI,3,-5.4205
FI,4,1.433142857142857
FI,5,8.037785714285715
FI,6,13.047571428571429
FI,7,16.563214285714285
FI,8,14.26442857142857
FI,9,9.120538461538462
FI,10,2.9541538461538464
FI,11,-2.2321538461538464
FI,12,-6.822307692307692
FJ,1,27.0695
FJ,2,27.237
FJ,3,27.23257142857143
FJ,4,26.576785714285712
FJ,5,25.65271428571429
FJ,6,24.76342857142857
FJ,7,23.9485
FJ,8,23.971214285714286
FJ,9,24.529461538461536
FJ,10,24.859461538461538
FJ,11,25.744846153846154
FJ,12,26.494846153846158
FO,1,5.069571428571429
FO,2,4.641500000000001
FO,3,4.8865
FO,4,5.992714285714285
FO,5,7.5122857142857145
FO,6,9.170642857142857
FO,7,10.865
FO,8,11.56307142857143
FO,9,10.586076923076924
FO,10,8.210846153846155
FO,11,6.533923076923077
FO,12,5.195461538461538
FR,1,7.4110000000000005
FR,2,7.951785714285714
FR,3,10.627642857142858
FR,4,13.051785714285714
FR,5,16.114642857142858
FR,6,19.06085714285714
FR,7,20.413928571428574
FR,8,20.40207142857143
FR,9,17.68276923076923
FR,10,14.565384615384614
FR,11,10.816692307692307
FR,12,7.81923076923077
GA,1,25.34007142857143
GA,2,25.85214285714286
GA,3,26.134357142857144
GA,4,25.86435714285714
GA,5,25.608428571428572
GA,6,24.031000000000002
GA,7,23.131285714285717
GA,8,23.605857142857143
GA,9,24.534
GA,10,24.83223076923077
GA,11,25.022307692307695
GA,12,24.979153846153846
GB,1,4.896928571428572
GB,2,4.966500000000001
GB,3,6.255214285714286
GB,4,8.196071428571427
GB,5,10.844071428571429
GB,6,13.288428571428572
GB,7,14.839928571428572
GB,8,14.837714285714286
GB,9,13.062615384615384
GB,10,10.057615384615385
GB,11,7.297538461538462
GB,12,4.722769230769232
GD,1,26.56342857142857
GD,2,26.541500000000003
GD,3,26.980214285714286
GD,4,27.476357142857143
GD,5,28.202928571428572
GD,6,28.092214285714284
GD,7,28.084785714285715
GD,8,28.398142857142858
GD,9,28.53776923076923
GD,10,28.033384615384616
GD,11,27.63192307692308
GD,12,26.941615384615382
GE,1,-1.303142857142857
GE,2,0.0028571428571428914
GE,3,3.7025
GE,4,8.281071428571428
GE,5,12.995142857142856
GE,6,17.1215
GE,7,20.025214285714288
GE,8,20.295785714285717
GE,9,16.328615384615382
GE,10,11.002076923076922
GE,11,5.039076923076923
GE,12,0.4020000000000001
GF,1,25.883285714285712
GF,2,25.893071428571428
GF,3,26.24257142857143
GF,4,26.284428571428574
GF,5,26.447499999999998
GF,6,26.3525
GF,7,26.546
GF,8,27.162714285714287
GF,9,27.527384615384616
GF,10,27.54261538461538
GF,11,27.413000000000004
GF,12,26.451076923076926
GG,1,7.491071428571428
GG,2,7.045642857142857
GG,3,8.173785714285714
GG,4,9.789928571428572
GG,5,12.18042857142857
GG,6,14.764642857142858
GG,7,16.689
GG,8,17.403357142857143
GG,9,16.171846153846154
GG,10,13.778076923076924
GG,11,11.091846153846152
GG,12,8.214846153846155
GH,1,27.326999999999998
GH,2,29.212142857142855
GH,3,30.105285714285714
GH,4,29.293785714285715
GH,5,28.35721428571429
GH,6,26.837214285714285
GH,7,25.823857142857143
GH,8,25.346642857142857
GH,9,25.864076923076922
GH,10,26.748307692307694
GH,11,27.653846153846153
GH,12,27.31823076923077
GL,1,-28.400928571428572
